user,repo,file,nbr of comits in the last year,nbr of commits in the last 6 month,nbr of commits in the last month,Data of creation,repos html url,
Dragauneau,-CezardRenan_3_20092021,gitlab-ci.yml,,,,2021-10-07,https://github.com/Dragauneau/-CezardRenan_3_20092021/blob/a64839ff460dcdb276206d56aa8138d6af7b3895/gitlab-ci.yml,api.github.com/repos/Dragauneau/-CezardRenan_3_20092021
MiaYWei,5G_ML,gitlab-ci-clang.yml,,,,2021-08-19,https://github.com/MiaYWei/5G_ML/blob/e789dbfb8c453169629448be6a65d99087e188db/ns-3-dev/utils/tests/gitlab-ci-clang.yml,api.github.com/repos/MiaYWei/5G_ML
julea-io,adios2,gitlab-ci-gitlabdotcom.yml,,,,2019-07-12,https://github.com/julea-io/adios2/blob/10ec6fcedee9c36cf3d84f6d85743ebb00539d24/.gitlab/gitlab-ci-gitlabdotcom.yml,api.github.com/repos/julea-io/adios2
d-e-s-o,apca,gitlab-ci.yml,,,,2020-04-21,https://github.com/d-e-s-o/apca/blob/3e1ec52ccf439bd491c42ce01851550813459a61/ci/gitlab-ci.yml,api.github.com/repos/d-e-s-o/apca
d-e-s-o,apcacli,gitlab-ci.yml,,,,2020-05-13,https://github.com/d-e-s-o/apcacli/blob/453b132a1af9afab17e23ba6850f04247db9b513/ci/gitlab-ci.yml,api.github.com/repos/d-e-s-o/apcacli
fare,asdf,gitlab-ci.yml,,,,2013-04-10,https://github.com/fare/asdf/blob/11a691c03eba55b718a154b673a7b77eb63eb244/gitlab-ci.yml,api.github.com/repos/fare/asdf
YunxiTang,BEATCPP,build.gitlab-ci.yml,,,,2020-12-12,https://github.com/YunxiTang/BEATCPP/blob/ebff7f9ea79126ffd96aa2a1e89a4bcfe788886a/eigen-3.4-rc1/ci/build.gitlab-ci.yml,api.github.com/repos/YunxiTang/BEATCPP
YunxiTang,BEATCPP,smoketests.gitlab-ci.yml,,,,2020-12-12,https://github.com/YunxiTang/BEATCPP/blob/ebff7f9ea79126ffd96aa2a1e89a4bcfe788886a/eigen-3.4-rc1/ci/smoketests.gitlab-ci.yml,api.github.com/repos/YunxiTang/BEATCPP
YunxiTang,BEATCPP,test.gitlab-ci.yml,,,,2020-12-12,https://github.com/YunxiTang/BEATCPP/blob/ebff7f9ea79126ffd96aa2a1e89a4bcfe788886a/eigen-3.4-rc1/ci/test.gitlab-ci.yml,api.github.com/repos/YunxiTang/BEATCPP
BerkeleyLab,Bedrock,oscope.gitlab-ci.yml,,,,2019-08-19,https://github.com/BerkeleyLab/Bedrock/blob/4955759741a2f84195ec5be0dbeec761385019a1/.gitlab/ci/oscope.gitlab-ci.yml,api.github.com/repos/BerkeleyLab/Bedrock
Qortal,Brooklyn,gitlab-ci.yml,,,,2021-05-26,https://github.com/Qortal/Brooklyn/blob/df8b07f6eaee6b4e018e5b49509daa8686fb1b50/mesa%203D%20driver/src/gallium/drivers/lima/ci/gitlab-ci.yml,api.github.com/repos/Qortal/Brooklyn
Qortal,Brooklyn,gitlab-ci.yml,,,,2021-05-26,https://github.com/Qortal/Brooklyn/blob/df8b07f6eaee6b4e018e5b49509daa8686fb1b50/mesa%203D%20driver/src/freedreno/ci/gitlab-ci.yml,api.github.com/repos/Qortal/Brooklyn
Qortal,Brooklyn,gitlab-ci.yml,,,,2021-05-26,https://github.com/Qortal/Brooklyn/blob/df8b07f6eaee6b4e018e5b49509daa8686fb1b50/mesa%203D%20driver/src/gallium/drivers/i915/ci/gitlab-ci.yml,api.github.com/repos/Qortal/Brooklyn
Qortal,Brooklyn,gitlab-ci.yml,,,,2021-05-26,https://github.com/Qortal/Brooklyn/blob/df8b07f6eaee6b4e018e5b49509daa8686fb1b50/mesa%203D%20driver/src/gallium/drivers/zink/ci/gitlab-ci.yml,api.github.com/repos/Qortal/Brooklyn
Qortal,Brooklyn,gitlab-ci.yml,,,,2021-05-26,https://github.com/Qortal/Brooklyn/blob/df8b07f6eaee6b4e018e5b49509daa8686fb1b50/mesa%203D%20driver/src/amd/ci/gitlab-ci.yml,api.github.com/repos/Qortal/Brooklyn
Qortal,Brooklyn,gitlab-ci.yml,,,,2021-05-26,https://github.com/Qortal/Brooklyn/blob/df8b07f6eaee6b4e018e5b49509daa8686fb1b50/mesa%203D%20driver/src/gallium/drivers/llvmpipe/ci/gitlab-ci.yml,api.github.com/repos/Qortal/Brooklyn
Qortal,Brooklyn,gitlab-ci.yml,,,,2021-05-26,https://github.com/Qortal/Brooklyn/blob/df8b07f6eaee6b4e018e5b49509daa8686fb1b50/mesa%203D%20driver/src/gallium/drivers/softpipe/ci/gitlab-ci.yml,api.github.com/repos/Qortal/Brooklyn
Qortal,Brooklyn,gitlab-ci.yml,,,,2021-05-26,https://github.com/Qortal/Brooklyn/blob/df8b07f6eaee6b4e018e5b49509daa8686fb1b50/mesa%203D%20driver/src/gallium/drivers/virgl/ci/gitlab-ci.yml,api.github.com/repos/Qortal/Brooklyn
Qortal,Brooklyn,gitlab-ci.yml,,,,2021-05-26,https://github.com/Qortal/Brooklyn/blob/df8b07f6eaee6b4e018e5b49509daa8686fb1b50/mesa%203D%20driver/src/broadcom/ci/gitlab-ci.yml,api.github.com/repos/Qortal/Brooklyn
Qortal,Brooklyn,gitlab-ci.yml,,,,2021-05-26,https://github.com/Qortal/Brooklyn/blob/df8b07f6eaee6b4e018e5b49509daa8686fb1b50/mesa%203D%20driver/src/gallium/drivers/radeonsi/ci/gitlab-ci.yml,api.github.com/repos/Qortal/Brooklyn
Qortal,Brooklyn,gitlab-ci.yml,,,,2021-05-26,https://github.com/Qortal/Brooklyn/blob/df8b07f6eaee6b4e018e5b49509daa8686fb1b50/mesa%203D%20driver/src/gallium/drivers/iris/ci/gitlab-ci.yml,api.github.com/repos/Qortal/Brooklyn
rishirajthoughtwin,CI-CD,gitlab-ci.yml,,,,2021-08-20,https://github.com/rishirajthoughtwin/CI-CD/blob/49968521ede5300d633a354d8f09bdca3108db99/piplineproj/gitlab-ci.yml,api.github.com/repos/rishirajthoughtwin/CI-CD
nitesh8860,cloudformation-snippets,gitlab-ci.yml,,,,2021-05-23,https://github.com/nitesh8860/cloudformation-snippets/blob/18be5eacdd36de81c359998eb4e589bfa18c03d8/cloudformation/gitlab/gitlab-ci.yml,api.github.com/repos/nitesh8860/cloudformation-snippets
Soietre,cmake_learn,build.gitlab-ci.yml,,,,2021-09-30,https://github.com/Soietre/cmake_learn/blob/1f6957d5e4c9d804dfdc2fb1dddaab20fff3c846/FindXXX/eigen-3.4.0/ci/build.gitlab-ci.yml,api.github.com/repos/Soietre/cmake_learn
Soietre,cmake_learn,smoketests.gitlab-ci.yml,,,,2021-09-30,https://github.com/Soietre/cmake_learn/blob/1f6957d5e4c9d804dfdc2fb1dddaab20fff3c846/FindXXX/eigen-3.4.0/ci/smoketests.gitlab-ci.yml,api.github.com/repos/Soietre/cmake_learn
Soietre,cmake_learn,test.gitlab-ci.yml,,,,2021-09-30,https://github.com/Soietre/cmake_learn/blob/1f6957d5e4c9d804dfdc2fb1dddaab20fff3c846/FindXXX/eigen-3.4.0/ci/test.gitlab-ci.yml,api.github.com/repos/Soietre/cmake_learn
dickmao,commercial-emacs,gitlab-ci.yml,,,,2021-08-28,https://github.com/dickmao/commercial-emacs/blob/57c758a9d4594ba16562beb4160870f19563af77/test/infra/gitlab-ci.yml,api.github.com/repos/dickmao/commercial-emacs
avantika-kala,computer-network-ns3,gitlab-ci-gcc.yml,,,,2021-10-13,https://github.com/avantika-kala/computer-network-ns3/blob/c0ddad2ce072503a682976ae4f97c1f6c5a488dc/ns3/ns-allinone-3.30/ns-3.30/utils/tests/gitlab-ci-gcc.yml,api.github.com/repos/avantika-kala/computer-network-ns3
avantika-kala,computer-network-ns3,gitlab-ci-ubuntu.yml,,,,2021-10-13,https://github.com/avantika-kala/computer-network-ns3/blob/c0ddad2ce072503a682976ae4f97c1f6c5a488dc/ns3/ns-allinone-3.30/ns-3.30/utils/tests/gitlab-ci-ubuntu.yml,api.github.com/repos/avantika-kala/computer-network-ns3
avantika-kala,computer-network-ns3,gitlab-ci-test.yml,,,,2021-10-13,https://github.com/avantika-kala/computer-network-ns3/blob/c0ddad2ce072503a682976ae4f97c1f6c5a488dc/ns3/ns-allinone-3.30/ns-3.30/utils/tests/gitlab-ci-test.yml,api.github.com/repos/avantika-kala/computer-network-ns3
avantika-kala,computer-network-ns3,gitlab-ci.yml,,,,2021-10-13,https://github.com/avantika-kala/computer-network-ns3/blob/c0ddad2ce072503a682976ae4f97c1f6c5a488dc/ns3/ns-allinone-3.30/ns-3.30/utils/tests/gitlab-ci.yml,api.github.com/repos/avantika-kala/computer-network-ns3
avantika-kala,computer-network-ns3,gitlab-ci-doc.yml,,,,2021-10-13,https://github.com/avantika-kala/computer-network-ns3/blob/c0ddad2ce072503a682976ae4f97c1f6c5a488dc/ns3/ns-allinone-3.30/ns-3.30/utils/tests/gitlab-ci-doc.yml,api.github.com/repos/avantika-kala/computer-network-ns3
avantika-kala,computer-network-ns3,gitlab-ci-fedora.yml,,,,2021-10-13,https://github.com/avantika-kala/computer-network-ns3/blob/c0ddad2ce072503a682976ae4f97c1f6c5a488dc/ns3/ns-allinone-3.30/ns-3.30/utils/tests/gitlab-ci-fedora.yml,api.github.com/repos/avantika-kala/computer-network-ns3
avantika-kala,computer-network-ns3,gitlab-ci-clang.yml,,,,2021-10-13,https://github.com/avantika-kala/computer-network-ns3/blob/c0ddad2ce072503a682976ae4f97c1f6c5a488dc/ns3/ns-allinone-3.30/ns-3.30/utils/tests/gitlab-ci-clang.yml,api.github.com/repos/avantika-kala/computer-network-ns3
Haevnen,CustomChromium,gitlab-ci.yml,,,,2021-09-03,https://github.com/Haevnen/CustomChromium/blob/2a463ef463fb6e11bfa5560958f17386b23b2a05/src/third_party/perfetto/debian/gitlab-ci.yml,api.github.com/repos/Haevnen/CustomChromium
Haevnen,CustomChromium,build.gitlab-ci.yml,,,,2021-09-03,https://github.com/Haevnen/CustomChromium/blob/2a463ef463fb6e11bfa5560958f17386b23b2a05/src/third_party/eigen3/src/ci/build.gitlab-ci.yml,api.github.com/repos/Haevnen/CustomChromium
Haevnen,CustomChromium,smoketests.gitlab-ci.yml,,,,2021-09-03,https://github.com/Haevnen/CustomChromium/blob/2a463ef463fb6e11bfa5560958f17386b23b2a05/src/third_party/eigen3/src/ci/smoketests.gitlab-ci.yml,api.github.com/repos/Haevnen/CustomChromium
Haevnen,CustomChromium,test.gitlab-ci.yml,,,,2021-09-03,https://github.com/Haevnen/CustomChromium/blob/2a463ef463fb6e11bfa5560958f17386b23b2a05/src/third_party/eigen3/src/ci/test.gitlab-ci.yml,api.github.com/repos/Haevnen/CustomChromium
shersadriddinov,cyberapi,gitlab-ci.yml,,,,2021-04-02,https://github.com/shersadriddinov/cyberapi/blob/f6a750d83ff1503b2aeb7e9509992dd5ee2006cc/gitlab-ci.yml,api.github.com/repos/shersadriddinov/cyberapi
Gepetto,dashboard,gitlab-ci.yml,,,,2018-02-21,https://github.com/Gepetto/dashboard/blob/f471a06ebeffbe80032c9fd6353befb0a8b64d97/rainboard/templates/rainboard/gitlab-ci.yml,api.github.com/repos/Gepetto/dashboard
GrammaTech,ddisasm,gitlab-ci.yml,,,,2018-09-13,https://github.com/GrammaTech/ddisasm/blob/4e52579ae839cb6775d6f36ed818c4da0425ed7f/.ci/gitlab-ci.yml,api.github.com/repos/GrammaTech/ddisasm
nilinov,demo_kraken,vendored-gems.gitlab-ci.yml,,,,2021-09-23,https://github.com/nilinov/demo_kraken/blob/3bc3157ece2b277ddc48ec4d694b48805e15d129/__.gitlab-ci.yml,api.github.com/repos/nilinov/demo_kraken
jiyuanjuan,demo-cli,gitlab-ci.yml,,,,2021-07-26,https://github.com/jiyuanjuan/demo-cli/blob/3518ef0530ea674d32726e94ae72e4c8e13b29a5/node_modules/download-git-repo/gitlab-ci.yml,api.github.com/repos/jiyuanjuan/demo-cli
28Rebirth,Demon-Better-Discord,gitlab-ci.yml,,,,2021-06-04,https://github.com/28Rebirth/Demon-Better-Discord/blob/b22674fad29e4543c2e2114f7028cb1035b1eed8/gitlab-ci.yml,api.github.com/repos/28Rebirth/Demon-Better-Discord
TigerGraph-DevLabs,detect-cryptocurrency-fraud,smoketests.gitlab-ci.yml,,,,2021-10-01,https://github.com/TigerGraph-DevLabs/detect-cryptocurrency-fraud/blob/f4414527b473ac7e152329bad49e51a7b5b64b7c/algorithms/eigen/ci/smoketests.gitlab-ci.yml,api.github.com/repos/TigerGraph-DevLabs/detect-cryptocurrency-fraud
TigerGraph-DevLabs,detect-cryptocurrency-fraud,build.gitlab-ci.yml,,,,2021-10-01,https://github.com/TigerGraph-DevLabs/detect-cryptocurrency-fraud/blob/f4414527b473ac7e152329bad49e51a7b5b64b7c/algorithms/eigen/ci/build.gitlab-ci.yml,api.github.com/repos/TigerGraph-DevLabs/detect-cryptocurrency-fraud
TigerGraph-DevLabs,detect-cryptocurrency-fraud,test.gitlab-ci.yml,,,,2021-10-01,https://github.com/TigerGraph-DevLabs/detect-cryptocurrency-fraud/blob/f4414527b473ac7e152329bad49e51a7b5b64b7c/algorithms/eigen/ci/test.gitlab-ci.yml,api.github.com/repos/TigerGraph-DevLabs/detect-cryptocurrency-fraud
ElzioJunior,dev-tools,Sonarqube%20Decorator%20on%20Gitlab%20CI.yml,,,,2021-08-11,https://github.com/ElzioJunior/dev-tools/blob/433e4c883dea006678a0807ecac23c4e259efd3e/Sonarqube%20Decorator%20on%20Gitlab%20CI.yml,api.github.com/repos/ElzioJunior/dev-tools
openSUSE,doc-kit,gitlab-ci.yml,,,,2017-12-15,https://github.com/openSUSE/doc-kit/blob/2ac877f2ba99380e53a7c0c15f1193e6c8ff1d96/asciidoc-release-notes/gitlab-ci.yml,api.github.com/repos/openSUSE/doc-kit
pymor,docker,gitlab-ci.yml,,,,2018-07-04,https://github.com/pymor/docker/blob/a159471fff088691bbfb360894fb257644b0f4ef/.ci/gitlab-ci.yml,api.github.com/repos/pymor/docker
binyammesfin,docker_react,gitlab-ci.yml,,,,2021-09-25,https://github.com/binyammesfin/docker_react/blob/55173780f5e6de8daee6de97072f5606beaea2a3/gitlab-ci.yml,api.github.com/repos/binyammesfin/docker_react
meyash,docker-gitlab-android-30_SDK,process.gitlab-ci.yml,,,,2021-07-06,https://github.com/meyash/docker-gitlab-android-30_SDK/blob/8c37e0fdd20fadc26814633ce7ef39d999643fcb/process.gitlab-ci.yml,api.github.com/repos/meyash/docker-gitlab-android-30_SDK
wanghws,documents,gitlab-ci.yml,,,,2021-06-03,https://github.com/wanghws/documents/blob/cafddcfaea07f64979aa705085a6718b59b91a24/gitlab_aliyun_k8s/gitlab-ci.yml,api.github.com/repos/wanghws/documents
agtonomy,eigen,smoketests.gitlab-ci.yml,,,,2021-10-04,https://github.com/agtonomy/eigen/blob/f0f1d7938b7083800ff75fe88e15092f08a4e67e/ci/smoketests.gitlab-ci.yml,api.github.com/repos/agtonomy/eigen
agtonomy,eigen,build.gitlab-ci.yml,,,,2021-10-04,https://github.com/agtonomy/eigen/blob/f0f1d7938b7083800ff75fe88e15092f08a4e67e/ci/build.gitlab-ci.yml,api.github.com/repos/agtonomy/eigen
agtonomy,eigen,test.gitlab-ci.yml,,,,2021-10-04,https://github.com/agtonomy/eigen/blob/f0f1d7938b7083800ff75fe88e15092f08a4e67e/ci/test.gitlab-ci.yml,api.github.com/repos/agtonomy/eigen
BlueBrain,eigen,smoketests.gitlab-ci.yml,,,,2021-08-25,https://github.com/BlueBrain/eigen/blob/9abf4d0bec058fc700eb36e74d431b6d6cbb2ab7/ci/smoketests.gitlab-ci.yml,api.github.com/repos/BlueBrain/eigen
BlueBrain,eigen,test.gitlab-ci.yml,,,,2021-08-25,https://github.com/BlueBrain/eigen/blob/9abf4d0bec058fc700eb36e74d431b6d6cbb2ab7/ci/test.gitlab-ci.yml,api.github.com/repos/BlueBrain/eigen
BlueBrain,eigen,build.gitlab-ci.yml,,,,2021-08-25,https://github.com/BlueBrain/eigen/blob/9abf4d0bec058fc700eb36e74d431b6d6cbb2ab7/ci/build.gitlab-ci.yml,api.github.com/repos/BlueBrain/eigen
fkxie,eigen,smoketests.gitlab-ci.yml,,,,2021-09-24,https://github.com/fkxie/eigen/blob/e9e90892fecb4bebe6473e9de491bfcd6c0de37f/ci/smoketests.gitlab-ci.yml,api.github.com/repos/fkxie/eigen
fkxie,eigen,build.gitlab-ci.yml,,,,2021-09-24,https://github.com/fkxie/eigen/blob/e9e90892fecb4bebe6473e9de491bfcd6c0de37f/ci/build.gitlab-ci.yml,api.github.com/repos/fkxie/eigen
fkxie,eigen,test.gitlab-ci.yml,,,,2021-09-24,https://github.com/fkxie/eigen/blob/e9e90892fecb4bebe6473e9de491bfcd6c0de37f/ci/test.gitlab-ci.yml,api.github.com/repos/fkxie/eigen
HaydenAI,eigen,build.gitlab-ci.yml,,,,2021-09-14,https://github.com/HaydenAI/eigen/blob/7a7650f4e773f68b7b54e97732d3cd62b4056041/ci/build.gitlab-ci.yml,api.github.com/repos/HaydenAI/eigen
HaydenAI,eigen,smoketests.gitlab-ci.yml,,,,2021-09-14,https://github.com/HaydenAI/eigen/blob/7a7650f4e773f68b7b54e97732d3cd62b4056041/ci/smoketests.gitlab-ci.yml,api.github.com/repos/HaydenAI/eigen
HaydenAI,eigen,test.gitlab-ci.yml,,,,2021-09-14,https://github.com/HaydenAI/eigen/blob/7a7650f4e773f68b7b54e97732d3cd62b4056041/ci/test.gitlab-ci.yml,api.github.com/repos/HaydenAI/eigen
lasagnaphil,eigen,smoketests.gitlab-ci.yml,,,,2021-10-09,https://github.com/lasagnaphil/eigen/blob/2bf07fa5b5034ed5f5b1839fea40a2581946f6fa/ci/smoketests.gitlab-ci.yml,api.github.com/repos/lasagnaphil/eigen
lasagnaphil,eigen,build.gitlab-ci.yml,,,,2021-10-09,https://github.com/lasagnaphil/eigen/blob/2bf07fa5b5034ed5f5b1839fea40a2581946f6fa/ci/build.gitlab-ci.yml,api.github.com/repos/lasagnaphil/eigen
lasagnaphil,eigen,test.gitlab-ci.yml,,,,2021-10-09,https://github.com/lasagnaphil/eigen/blob/2bf07fa5b5034ed5f5b1839fea40a2581946f6fa/ci/test.gitlab-ci.yml,api.github.com/repos/lasagnaphil/eigen
live-clones,eigen,build.gitlab-ci.yml,,,,2020-05-02,https://github.com/live-clones/eigen/blob/3753e6a2b3df54fb38c14638a46f83159cee9bde/ci/build.gitlab-ci.yml,api.github.com/repos/live-clones/eigen
live-clones,eigen,test.gitlab-ci.yml,,,,2020-05-02,https://github.com/live-clones/eigen/blob/3753e6a2b3df54fb38c14638a46f83159cee9bde/ci/test.gitlab-ci.yml,api.github.com/repos/live-clones/eigen
NextDroid,eigen,smoketests.gitlab-ci.yml,,,,2021-10-04,https://github.com/NextDroid/eigen/blob/8ce341caf2947e4b5ac4580c20254ae7d828b009/ci/smoketests.gitlab-ci.yml,api.github.com/repos/NextDroid/eigen
NextDroid,eigen,test.gitlab-ci.yml,,,,2021-10-04,https://github.com/NextDroid/eigen/blob/8ce341caf2947e4b5ac4580c20254ae7d828b009/ci/test.gitlab-ci.yml,api.github.com/repos/NextDroid/eigen
NextDroid,eigen,build.gitlab-ci.yml,,,,2021-10-04,https://github.com/NextDroid/eigen/blob/8ce341caf2947e4b5ac4580c20254ae7d828b009/ci/build.gitlab-ci.yml,api.github.com/repos/NextDroid/eigen
SWang525,eigen,build.gitlab-ci.yml,,,,2021-08-24,https://github.com/SWang525/eigen/blob/7a7650f4e773f68b7b54e97732d3cd62b4056041/ci/build.gitlab-ci.yml,api.github.com/repos/SWang525/eigen
SWang525,eigen,smoketests.gitlab-ci.yml,,,,2021-08-24,https://github.com/SWang525/eigen/blob/7a7650f4e773f68b7b54e97732d3cd62b4056041/ci/smoketests.gitlab-ci.yml,api.github.com/repos/SWang525/eigen
val-verde,eigen,build.gitlab-ci.yml,,,,2021-09-28,https://github.com/val-verde/eigen/blob/3147391d946bb4b6c68edd901f2add6ac1f31f8c/ci/build.gitlab-ci.yml,api.github.com/repos/val-verde/eigen
val-verde,eigen,smoketests.gitlab-ci.yml,,,,2021-09-28,https://github.com/val-verde/eigen/blob/3147391d946bb4b6c68edd901f2add6ac1f31f8c/ci/smoketests.gitlab-ci.yml,api.github.com/repos/val-verde/eigen
val-verde,eigen,test.gitlab-ci.yml,,,,2021-09-28,https://github.com/val-verde/eigen/blob/3147391d946bb4b6c68edd901f2add6ac1f31f8c/ci/test.gitlab-ci.yml,api.github.com/repos/val-verde/eigen
zap150,eigen,smoketests.gitlab-ci.yml,,,,2020-11-11,https://github.com/zap150/eigen/blob/e9e90892fecb4bebe6473e9de491bfcd6c0de37f/ci/smoketests.gitlab-ci.yml,api.github.com/repos/zap150/eigen
zap150,eigen,build.gitlab-ci.yml,,,,2020-11-11,https://github.com/zap150/eigen/blob/e9e90892fecb4bebe6473e9de491bfcd6c0de37f/ci/build.gitlab-ci.yml,api.github.com/repos/zap150/eigen
zap150,eigen,test.gitlab-ci.yml,,,,2020-11-11,https://github.com/zap150/eigen/blob/e9e90892fecb4bebe6473e9de491bfcd6c0de37f/ci/test.gitlab-ci.yml,api.github.com/repos/zap150/eigen
thornjad,emacs,gitlab-ci.yml,6040,2721,635,2020-12-10,https://github.com/thornjad/emacs/blob/6e37350081eb8a76dcbe15285e68330df51ea4ba/test/infra/gitlab-ci.yml,api.github.com/repos/thornjad/emacs
